title,url,rating,reviews,price,quantity,productName
"Merlion Naturals Organic Raw Honey, Wild Forest / Multiflora Honey (300gm)",/Merlion-Naturals-Organic-Forest-Multiflora/dp/B07RCX436Z/ref=sr_1_16?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-16,4.1 out of 5 stars,545,299,300gm,Merlion Naturals
,,,,,,
"Organic India Tulsi Original Tea, 25 Infusion Tea Bags",/Organic-India-Tulsi-Original-Infusion/dp/B004UC5SEM/ref=sr_1_17?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-17,4.4 out of 5 stars,363,148,25,Organic India
,,,,,,
Organic India Moringa Powder - 100 g,/Organic-India-Moringa-Powder-100/dp/B01JCFDX4S/ref=sr_1_18?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-18,4.3 out of 5 stars,378,225,100 g,Organic India
,,,,,,
Organic India Psyllium whole husk 100gm,/Organic-India-Psyllium-whole-100gm/dp/B00JI4WCGO/ref=sr_1_19?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-19,4.2 out of 5 stars,360,210,100gm,Organic India
,,,,,,
Organic India Tulsi Green Tea Lemon Ginger 25 TB,/Organic-India-Tulsi-Green-Ginger/dp/B078HQWWVF/ref=sr_1_20?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-20,4.4 out of 5 stars,"1,499",174,25 TB,Organic India
,,,,,,
Kapiva Wild Amla Juice 1L | Immunity and Digestion Booster | Made from Pratapgarh Amlas | No Added Sugar,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00902501NEXR80E7JLZN&url=%2FKapiva-Amla-Juice-Digestion-Immunity%2Fdp%2FB01MFH172B%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-21-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_mtf,4.0 out of 5 stars,861,220,1L,Kapiva Wild
,,,,,,
"WOW Skin Science Red Onion Black Seed Oil Shampoo With Red Onion Seed Oil Extract, Black Seed Oil & Pro-Vitamin B5 - No Parabens, Sulphates, Silicones, Color & Peg, 300 ml",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03521561T211UHVYQ95L&url=%2FWOW-Skin-Science-Shampoo-Pro-Vitamin%2Fdp%2FB07YNHHH5N%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26smid%3DAT95IG9ONZD7S%26sr%3D8-22-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_mtf,4.0 out of 5 stars,"2,151",339,300 ml,WOW Skin
,,,,,,
Kapiva Wild Tulsi Giloy Juice 1L | Natural Juice for Building Immunity | First brand to use Neem Grown Giloy Stems with Fresh Tulsi Leaves | No Added Sugar,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05893911OQ29H97SHIKY&url=%2FKapiva-Tulsi-Giloy-Juice-Natural%2Fdp%2FB01MQE067R%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-23-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_mtf,4.1 out of 5 stars,674,320,1L,Kapiva Wild
,,,,,,
"WOW Skin Science Vitamin C Face Cream - Oil Free, Quick Absorbing - For All Skin Types - No Parabens, Silicones, Color, Mineral Oil & Synthetic Fragrance, 50 ml",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A075785736HPWIHC5P2M4&url=%2FWOW-Skin-Science-Vitamin-Cream%2Fdp%2FB082Z1455Q%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-24-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_mtf,4.0 out of 5 stars,158,589,50 ml,WOW Skin
,,,,,,
"Indus Valley Bio Organic Extra Virgin Coconut Oil, 175ml",/Indus-Valley-Organic-Virgin-Coconut/dp/B079M6N665/ref=sr_1_25?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&smid=A3QVIKTRGLR5OU&sr=8-25,4.1 out of 5 stars,706,199,175ml,Indus Valley
,,,,,,
"24 Mantra Organic Kabuli Chana (White Chick Peas), 500g",/24-Mantra-Organic-Kabuli-Chana/dp/B00L924ZG8/ref=sr_1_26?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-26,4.1 out of 5 stars,126,,24 Mantra,24 Mantra
,,,,,,
